match_date,home_team_id,away_team_id,home_goals,away_goals,tournament,city,country,is_neutral_venue,is_friendly
2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,Moscow,Russia,False,False
2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,Ekaterinburg,Russia,True,False
2018-06-15,Morocco,Iran,0,1,FIFA World Cup,Saint Petersburg,Russia,True,False
2018-06-15,Portugal,Spain,3,3,FIFA World Cup,Sochi,Russia,True,False
2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup,Kaliningrad,Russia,True,False
2018-06-16,France,Australia,2,1,FIFA World Cup,Kazan,Russia,True,False
2018-06-16,Argentina,Iceland,1,1,FIFA World Cup,Moscow,Russia,True,False
2018-06-16,Peru,Denmark,0,1,FIFA World Cup,Saransk,Russia,True,False
2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup,Rostov-on-Don,Russia,True,False
2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,Samara,Russia,True,False
2018-06-17,Germany,Mexico,0,1,FIFA World Cup,Moscow,Russia,True,False
2018-06-18,Sweden,South Korea,1,0,FIFA World Cup,Nizhny Novgorod,Russia,True,False
2018-06-18,Belgium,Panama,3,0,FIFA World Cup,Sochi,Russia,True,False
2018-06-18,Tunisia,England,1,2,FIFA World Cup,Volgograd,Russia,True,False
2018-06-19,Colombia,Japan,1,2,FIFA World Cup,Saransk,Russia,True,False
2018-06-19,Poland,Senegal,1,2,FIFA World Cup,Moscow,Russia,True,False
2018-06-19,Russia,Egypt,3,1,FIFA World Cup,Saint Petersburg,Russia,False,False
2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,Rostov-on-Don,Russia,True,False
2018-06-20,Portugal,Morocco,1,0,FIFA World Cup,Moscow,Russia,True,False
2018-06-20,Iran,Spain,0,1,FIFA World Cup,Kazan,Russia,True,False
2018-06-21,Denmark,Australia,1,1,FIFA World Cup,Samara,Russia,True,False
2018-06-21,France,Peru,1,0,FIFA World Cup,Ekaterinburg,Russia,True,False
2018-06-21,Argentina,Croatia,0,3,FIFA World Cup,Nizhny Novgorod,Russia,True,False
2018-06-22,Nigeria,Iceland,2,0,FIFA World Cup,Volgograd,Russia,True,False
2018-06-22,Serbia,Switzerland,1,2,FIFA World Cup,Kaliningrad,Russia,True,False
2018-06-22,Brazil,Costa Rica,2,0,FIFA World Cup,Saint Petersburg,Russia,True,False
2018-06-23,Germany,Sweden,2,1,FIFA World Cup,Sochi,Russia,True,False
2018-06-23,South Korea,Mexico,1,2,FIFA World Cup,Rostov-on-Don,Russia,True,False
2018-06-23,Belgium,Tunisia,5,2,FIFA World Cup,Moscow,Russia,True,False
2018-06-24,England,Panama,6,1,FIFA World Cup,Nizhny Novgorod,Russia,True,False
2018-06-24,Japan,Senegal,2,2,FIFA World Cup,Ekaterinburg,Russia,True,False
2018-06-24,Poland,Colombia,0,3,FIFA World Cup,Kazan,Russia,True,False
2018-06-25,Russia,Uruguay,0,3,FIFA World Cup,Samara,Russia,False,False
